,X,Age,Education,Marital.Status,Gender,Income
19250,19250,40,None Higher Education,Married,Male,59.14073274
19251,19251,54,Higher Education,Married,Male,29.90651835
19252,19252,45,Higher Education,Not Married,Female,23.02773691
19253,19253,53,Higher Education,Married,Male,33.65986103
19254,19254,17,None Higher Education,Not Married,Male,54.75943324
19255,19255,50,None Higher Education,Not Married,Female,40.90234397
19256,19256,22,None Higher Education,Not Married,Male,57.43429439
19257,19257,30,None Higher Education,Not Married,Male,43.79449384
19258,19258,40,None Higher Education,Married,Male,60.28377056
19259,19259,36,Higher Education,Not Married,Male,24.02123046
19260,19260,25,None Higher Education,Not Married,Male,48.75762845
19261,19261,29,Higher Education,Married,Male,21.45206823
19262,19262,29,None Higher Education,Not Married,Male,51.13416884
19263,19263,22,None Higher Education,Not Married,Female,38.19170279
19264,19264,56,None Higher Education,Not Married,Female,49.60131267
19265,19265,60,Higher Education,Married,Male,36.24476352
19266,19266,37,Higher Education,Married,Male,11.25040513
19267,19267,53,None Higher Education,Not Married,Female,31.58536677
19268,19268,23,Higher Education,Not Married,Female,26.70416648
19269,19269,18,Higher Education,Not Married,Female,29.72884968
19270,19270,36,Higher Education,Not Married,Female,6.632453257
19271,19271,67,Higher Education,Married,Male,43.50487148
19272,19272,31,Higher Education,Not Married,Male,42.58197615
19273,19273,26,None Higher Education,Married,Male,47.56594234
19274,19274,18,None Higher Education,Not Married,Female,49.15761799
19275,19275,45,Higher Education,Not Married,Female,28.8656214
19276,19276,64,None Higher Education,Married,Male,62.70258472
19277,19277,26,Higher Education,Not Married,Female,21.5887773
19278,19278,53,Higher Education,Not Married,Female,50.77423209
19279,19279,27,Higher Education,Not Married,Male,9.049698234
19280,19280,32,Higher Education,Not Married,Male,36.58687857
19281,19281,49,Higher Education,Not Married,Female,27.57315877
19282,19282,59,None Higher Education,Married,Male,59.97666348
19283,19283,44,Higher Education,Married,Male,24.47651789
19284,19284,61,Higher Education,Married,Male,35.12750783
19285,19285,41,Higher Education,Not Married,Female,26.77723903
19286,19286,46,Higher Education,Not Married,Female,34.13128669
19287,19287,32,Higher Education,Not Married,Male,31.36168855
19288,19288,29,Higher Education,Not Married,Female,33.74084655
19289,19289,48,Higher Education,Not Married,Male,31.44762384
19290,19290,32,Higher Education,Not Married,Female,44.61334474
19291,19291,21,Higher Education,Not Married,Female,32.96452588
19292,19292,50,Higher Education,Married,Male,25.18519049
19293,19293,44,Higher Education,Married,Male,35.32404323
19294,19294,51,Higher Education,Not Married,Female,32.60241485
19295,19295,42,Higher Education,Married,Male,25.85095485
19296,19296,27,None Higher Education,Not Married,Female,39.09871847
19297,19297,70,Higher Education,Married,Male,31.51573961
19298,19298,33,Higher Education,Not Married,Female,18.55560698
19299,19299,65,Higher Education,Married,Male,19.94977099
19300,19300,39,Higher Education,Not Married,Male,29.17082909
19301,19301,32,Higher Education,Married,Male,41.97648155
19302,19302,30,Higher Education,Not Married,Female,48.41327145
19303,19303,43,Higher Education,Married,Male,33.78329731
19304,19304,31,None Higher Education,Not Married,Male,65.75819192
19305,19305,64,None Higher Education,Not Married,Female,66.1241052
19306,19306,37,Higher Education,Not Married,Male,17.31364428
19307,19307,49,Higher Education,Not Married,Male,24.67479847
19308,19308,29,None Higher Education,Not Married,Male,54.06486673
19309,19309,35,Higher Education,Not Married,Male,30.47746195
19310,19310,37,None Higher Education,Married,Male,66.17168134
19311,19311,42,Higher Education,Married,Male,29.39158186
19312,19312,21,Higher Education,Not Married,Male,21.87522744
19313,19313,23,None Higher Education,Not Married,Male,63.00517873
19314,19314,35,Higher Education,Not Married,Female,35.16818091
19315,19315,29,None Higher Education,Married,Male,25.86475443
19316,19316,23,Higher Education,Not Married,Female,37.22029101
19317,19317,21,Higher Education,Not Married,Female,34.04858062
19318,19318,45,None Higher Education,Not Married,Male,68.12928284
19319,19319,24,None Higher Education,Not Married,Male,43.77960656
19320,19320,38,Higher Education,Not Married,Male,34.17639195
19321,19321,28,None Higher Education,Not Married,Female,51.1303758
19322,19322,23,Higher Education,Not Married,Female,33.08815246
19323,19323,39,None Higher Education,Not Married,Male,42.0217297
19324,19324,45,Higher Education,Married,Male,15.53552601
19325,19325,68,None Higher Education,Not Married,Female,50.04001535
19326,19326,60,None Higher Education,Not Married,Male,48.54869549
19327,19327,38,Higher Education,Married,Female,37.46727966
19328,19328,41,None Higher Education,Not Married,Male,49.64154607
19329,19329,48,Higher Education,Not Married,Male,37.41105574
19330,19330,33,Higher Education,Married,Male,18.7870061
19331,19331,48,None Higher Education,Married,Male,59.85650744
19332,19332,23,Higher Education,Not Married,Female,18.94498617
19333,19333,26,None Higher Education,Married,Male,24.73479749
19334,19334,55,None Higher Education,Married,Male,60.67333173
19335,19335,35,Higher Education,Married,Male,22.60230234
19336,19336,52,Higher Education,Married,Male,19.79238414
19337,19337,46,Higher Education,Not Married,Female,36.02044619
19338,19338,72,Higher Education,Married,Male,41.91647841
19339,19339,18,Higher Education,Not Married,Female,15.65354881
19340,19340,62,Higher Education,Not Married,Male,25.50540266
19341,19341,22,Higher Education,Not Married,Female,28.8045931
19342,19342,40,Higher Education,Married,Female,22.18157827
19343,19343,26,Higher Education,Married,Male,24.23464873
19344,19344,35,None Higher Education,Married,Female,41.7714876
19345,19345,25,Higher Education,Not Married,Female,8.119151994
19346,19346,46,None Higher Education,Married,Female,53.7224005
19347,19347,39,None Higher Education,Married,Male,50.31840937
19348,19348,41,Higher Education,Married,Male,28.14385694
19349,19349,59,None Higher Education,Married,Male,52.42165689
19350,19350,37,Higher Education,Married,Male,28.17584563
19351,19351,38,Higher Education,Married,Male,33.29756246
19352,19352,33,None Higher Education,Not Married,Male,51.28372891
19353,19353,23,None Higher Education,Married,Female,56.4748305
19354,19354,67,Higher Education,Not Married,Male,18.22667947
19355,19355,60,None Higher Education,Not Married,Female,56.69464781
19356,19356,39,None Higher Education,Married,Male,54.20946177
19357,19357,32,Higher Education,Married,Male,31.72779764
19358,19358,26,None Higher Education,Not Married,Female,48.88533375
19359,19359,39,Higher Education,Not Married,Female,30.21050727
19360,19360,28,Higher Education,Not Married,Female,35.7521299
19361,19361,29,None Higher Education,Not Married,Female,44.44076303
19362,19362,43,None Higher Education,Married,Male,54.24517646
19363,19363,23,Higher Education,Not Married,Male,43.63399868
19364,19364,32,None Higher Education,Married,Male,55.51601293
19365,19365,33,Higher Education,Married,Female,19.6990865
19366,19366,45,Higher Education,Not Married,Female,35.85478089
19367,19367,48,Higher Education,Not Married,Male,28.10490425
19368,19368,43,Higher Education,Married,Male,23.46603407
19369,19369,50,Higher Education,Married,Male,22.02163447
19370,19370,63,None Higher Education,Not Married,Male,52.08216502
19371,19371,55,Higher Education,Married,Male,31.50984107
19372,19372,22,None Higher Education,Not Married,Female,66.09050853
19373,19373,32,Higher Education,Not Married,Male,26.64266985
19374,19374,27,None Higher Education,Married,Male,28.04289064
19375,19375,22,None Higher Education,Not Married,Female,60.17224851
19376,19376,44,Higher Education,Not Married,Male,51.99301056
19377,19377,34,Higher Education,Not Married,Female,45.51345247
19378,19378,28,Higher Education,Not Married,Female,25.47093666
19379,19379,40,Higher Education,Married,Female,34.52234835
19380,19380,45,Higher Education,Married,Male,37.10397618
19381,19381,17,None Higher Education,Not Married,Male,64.55706561
19382,19382,53,None Higher Education,Married,Male,39.37454506
19383,19383,58,None Higher Education,Married,Male,42.6338258
19384,19384,55,Higher Education,Not Married,Male,26.17267359
19385,19385,44,None Higher Education,Not Married,Male,65.55149051
19386,19386,40,Higher Education,Married,Male,11.60374098
19387,19387,58,Higher Education,Married,Male,37.55378222
19388,19388,38,Higher Education,Married,Male,34.81203151
19389,19389,62,None Higher Education,Not Married,Female,72.94855578
19390,19390,31,None Higher Education,Married,Male,32.47517278
19391,19391,31,None Higher Education,Married,Male,72.87992049
19392,19392,30,Higher Education,Not Married,Male,33.53719806
19393,19393,37,Higher Education,Not Married,Female,20.14486944
19394,19394,38,Higher Education,Not Married,Male,45.88112844
19395,19395,58,None Higher Education,Married,Male,57.59945128
19396,19396,30,None Higher Education,Married,Male,48.58247522
19397,19397,28,None Higher Education,Not Married,Female,52.64363177
19398,19398,46,Higher Education,Not Married,Female,21.40140267
19399,19399,34,None Higher Education,Not Married,Female,50.77290991
19400,19400,39,Higher Education,Not Married,Male,29.27071445
19401,19401,61,Higher Education,Not Married,Female,2.081432633
19402,19402,30,None Higher Education,Not Married,Female,52.09441453
19403,19403,31,Higher Education,Not Married,Female,24.90326571
19404,19404,21,Higher Education,Not Married,Male,36.30834669
19405,19405,50,Higher Education,Married,Male,36.94274828
19406,19406,47,Higher Education,Not Married,Male,22.45059634
19407,19407,20,Higher Education,Not Married,Male,27.16473902
19408,19408,23,None Higher Education,Not Married,Female,30.9319129
19409,19409,46,None Higher Education,Not Married,Female,68.53520971
19410,19410,20,Higher Education,Not Married,Male,34.83526801
19411,19411,33,None Higher Education,Married,Male,61.23050901
19412,19412,30,Higher Education,Not Married,Female,25.96536131
19413,19413,43,Higher Education,Not Married,Female,26.23455313
19414,19414,23,Higher Education,Not Married,Male,30.90949867
19415,19415,34,None Higher Education,Married,Male,41.26897623
19416,19416,25,Higher Education,Not Married,Male,32.87513021
19417,19417,50,Higher Education,Married,Female,23.10805385
19418,19418,44,Higher Education,Married,Female,29.87734943
19419,19419,26,Higher Education,Not Married,Female,30.06613077
19420,19420,35,Higher Education,Not Married,Female,16.57626731
19421,19421,48,Higher Education,Not Married,Male,30.15157898
19422,19422,26,Higher Education,Not Married,Male,24.39839614
19423,19423,41,Higher Education,Not Married,Female,37.15799939
19424,19424,25,None Higher Education,Not Married,Male,56.41380653
19425,19425,33,None Higher Education,Not Married,Female,60.40306276
19426,19426,24,None Higher Education,Married,Female,41.42867453
19427,19427,31,None Higher Education,Married,Female,56.03476951
19428,19428,24,None Higher Education,Not Married,Female,52.79773184
19429,19429,41,None Higher Education,Not Married,Female,49.02481525
19430,19430,38,Higher Education,Married,Male,29.59132205
19431,19431,19,Higher Education,Not Married,Male,34.23864765
19432,19432,19,Higher Education,Not Married,Male,20.00956311
19433,19433,24,Higher Education,Not Married,Male,31.88902772
19434,19434,59,None Higher Education,Married,Male,63.26669768
19435,19435,67,Higher Education,Married,Male,35.0257903
19436,19436,49,None Higher Education,Not Married,Male,61.7816711
19437,19437,35,None Higher Education,Married,Male,38.58573577
19438,19438,44,Higher Education,Married,Male,13.70117779
19439,19439,58,Higher Education,Married,Male,15.11715753
19440,19440,22,None Higher Education,Not Married,Male,36.3860695
19441,19441,21,Higher Education,Not Married,Male,21.75610173
19442,19442,50,Higher Education,Married,Male,36.75030404
19443,19443,44,None Higher Education,Married,Male,68.30163029
19444,19444,36,Higher Education,Married,Male,33.28532061
19445,19445,30,Higher Education,Married,Male,9.40404387
19446,19446,52,Higher Education,Married,Male,55.14324237
19447,19447,35,Higher Education,Married,Male,31.42578659
19448,19448,48,None Higher Education,Not Married,Male,58.14085628
19449,19449,23,Higher Education,Married,Male,18.36267084
19450,19450,37,Higher Education,Not Married,Male,17.57146736
19451,19451,44,Higher Education,Married,Male,37.72239661
19452,19452,44,Higher Education,Married,Male,28.9168671
19453,19453,36,None Higher Education,Not Married,Male,33.28096186
19454,19454,26,Higher Education,Married,Male,58.6257207
19455,19455,31,None Higher Education,Not Married,Male,50.41314166
19456,19456,23,Higher Education,Not Married,Male,32.41210133
19457,19457,29,Higher Education,Married,Male,20.39162547
19458,19458,53,Higher Education,Not Married,Female,20.39135159
19459,19459,52,None Higher Education,Married,Male,56.06630169
19460,19460,55,Higher Education,Married,Male,49.9674607
19461,19461,31,None Higher Education,Married,Male,51.15020782
19462,19462,19,Higher Education,Not Married,Female,26.53067842
19463,19463,64,Higher Education,Not Married,Female,19.62900467
19464,19464,55,Higher Education,Married,Male,25.54149768
19465,19465,48,Higher Education,Married,Male,29.65512809
19466,19466,20,Higher Education,Not Married,Female,39.66756455
19467,19467,50,Higher Education,Married,Female,38.10299451
19468,19468,45,None Higher Education,Married,Male,54.02807484
19469,19469,17,None Higher Education,Not Married,Male,38.27129125
19470,19470,38,Higher Education,Not Married,Female,33.46746748
19471,19471,43,Higher Education,Not Married,Female,29.25004703
19472,19472,22,Higher Education,Married,Male,40.26142127
19473,19473,63,Higher Education,Not Married,Female,28.5947061
19474,19474,36,None Higher Education,Married,Male,53.31430208
19475,19475,56,None Higher Education,Married,Male,43.94241452
19476,19476,43,Higher Education,Married,Male,41.48360037
19477,19477,41,None Higher Education,Married,Male,33.41150195
19478,19478,41,Higher Education,Not Married,Female,43.87185831
19479,19479,36,None Higher Education,Not Married,Male,45.93411362
19480,19480,59,Higher Education,Married,Male,27.69076653
19481,19481,46,None Higher Education,Married,Male,34.40724706
19482,19482,23,None Higher Education,Not Married,Female,56.76141583
19483,19483,46,Higher Education,Not Married,Male,23.52757957
19484,19484,53,None Higher Education,Married,Male,67.78114843
19485,19485,47,Higher Education,Not Married,Male,36.51719388
19486,19486,46,Higher Education,Not Married,Female,35.76180559
19487,19487,47,Higher Education,Married,Male,43.34357824
19488,19488,29,Higher Education,Married,Male,25.49835321
19489,19489,32,None Higher Education,Not Married,Female,63.6972102
19490,19490,90,Higher Education,Married,Male,28.81460506
19491,19491,63,None Higher Education,Married,Male,53.32501412
19492,19492,23,None Higher Education,Not Married,Male,54.42381374
19493,19493,76,None Higher Education,Married,Male,34.73477711
19494,19494,23,None Higher Education,Not Married,Female,54.10346429
19495,19495,44,Higher Education,Married,Female,15.13033033
19496,19496,81,None Higher Education,Married,Female,71.59683614
19497,19497,17,None Higher Education,Not Married,Female,64.42180184
19498,19498,56,None Higher Education,Married,Male,64.1076905
19499,19499,58,None Higher Education,Married,Male,58.78009598
19500,19500,45,None Higher Education,Married,Male,61.33906494
19501,19501,25,Higher Education,Married,Male,49.26101855
19502,19502,36,None Higher Education,Married,Female,63.09667857
19503,19503,32,None Higher Education,Married,Female,40.42630022
19504,19504,25,Higher Education,Not Married,Male,16.38125714
19505,19505,29,Higher Education,Married,Male,40.59597564
19506,19506,23,Higher Education,Not Married,Male,49.15945638
19507,19507,41,Higher Education,Married,Male,37.50537772
19508,19508,48,None Higher Education,Married,Male,51.14990521
19509,19509,29,Higher Education,Married,Male,31.76061581
19510,19510,27,Higher Education,Not Married,Male,36.39777588
19511,19511,55,Higher Education,Married,Male,19.34399865
19512,19512,30,None Higher Education,Married,Male,51.90705756
19513,19513,45,Higher Education,Not Married,Female,23.4433703
19514,19514,50,Higher Education,Not Married,Male,35.68532046
19515,19515,22,Higher Education,Not Married,Male,19.18023498
19516,19516,80,Higher Education,Not Married,Female,31.98253407
19517,19517,30,Higher Education,Married,Male,26.70982124
19518,19518,20,Higher Education,Not Married,Female,50.38163584
19519,19519,29,Higher Education,Married,Male,38.83594345
19520,19520,56,Higher Education,Married,Male,31.03038678
19521,19521,63,None Higher Education,Married,Male,44.4122767
19522,19522,20,Higher Education,Not Married,Male,29.42136035
19523,19523,38,Higher Education,Married,Female,29.00298189
19524,19524,31,Higher Education,Married,Male,32.61191508
19525,19525,21,Higher Education,Not Married,Male,28.84053567
19526,19526,47,None Higher Education,Married,Male,64.73367949
19527,19527,25,None Higher Education,Not Married,Female,49.40381783
19528,19528,31,Higher Education,Not Married,Female,40.06942507
19529,19529,28,Higher Education,Not Married,Female,18.10209182
19530,19530,38,Higher Education,Married,Male,33.39976424
19531,19531,30,None Higher Education,Married,Male,57.66008087
19532,19532,39,Higher Education,Married,Male,29.93981647
19533,19533,27,None Higher Education,Not Married,Female,33.67963043
19534,19534,26,Higher Education,Not Married,Female,34.62461436
19535,19535,47,Higher Education,Not Married,Female,53.95296313
19536,19536,27,Higher Education,Not Married,Male,37.34728515
19537,19537,43,Higher Education,Married,Male,12.81043263
19538,19538,32,None Higher Education,Not Married,Male,44.11022528
19539,19539,20,Higher Education,Not Married,Male,29.25669064
19540,19540,21,None Higher Education,Not Married,Female,55.60489031
19541,19541,32,None Higher Education,Not Married,Male,58.59263008
19542,19542,37,None Higher Education,Not Married,Male,58.36694224
19543,19543,45,Higher Education,Married,Male,26.73817852
19544,19544,37,None Higher Education,Married,Male,45.66990672
19545,19545,54,None Higher Education,Not Married,Female,45.82573619
19546,19546,24,None Higher Education,Not Married,Male,38.60573926
19547,19547,28,None Higher Education,Not Married,Male,57.74637636
19548,19548,23,Higher Education,Not Married,Male,52.56416788
19549,19549,54,Higher Education,Married,Male,21.8866587
19550,19550,40,Higher Education,Married,Male,21.93818329
19551,19551,38,Higher Education,Married,Male,5.493301624
19552,19552,71,None Higher Education,Married,Male,50.97870566
19553,19553,51,Higher Education,Not Married,Female,58.80792501
19554,19554,52,Higher Education,Not Married,Male,8.203003943
19555,19555,30,None Higher Education,Not Married,Female,45.45811961
19556,19556,34,Higher Education,Married,Male,32.08367302
19557,19557,38,None Higher Education,Not Married,Female,58.45840879
19558,19558,43,None Higher Education,Not Married,Female,28.84176267
19559,19559,43,None Higher Education,Not Married,Male,26.19715492
19560,19560,36,Higher Education,Not Married,Male,3.171945656
19561,19561,24,Higher Education,Not Married,Female,37.08410174
19562,19562,29,None Higher Education,Not Married,Male,59.22473933
19563,19563,55,None Higher Education,Married,Female,38.39062349
19564,19564,51,Higher Education,Married,Male,41.10784836
19565,19565,43,Higher Education,Not Married,Female,41.1458147
19566,19566,28,Higher Education,Not Married,Male,36.35621843
19567,19567,54,None Higher Education,Married,Male,52.75812863
19568,19568,47,Higher Education,Married,Male,45.9210421
19569,19569,47,None Higher Education,Married,Male,58.93952959
19570,19570,47,Higher Education,Married,Male,36.32621264
19571,19571,38,Higher Education,Not Married,Female,30.30023136
19572,19572,60,None Higher Education,Married,Male,62.7862048
19573,19573,19,Higher Education,Not Married,Female,33.55498335
19574,19574,22,Higher Education,Not Married,Female,30.07702571
19575,19575,55,Higher Education,Married,Male,33.16659792
19576,19576,44,Higher Education,Not Married,Female,30.67164591
19577,19577,53,None Higher Education,Married,Male,39.39852636
19578,19578,44,Higher Education,Married,Female,27.63286194
19579,19579,28,None Higher Education,Not Married,Male,52.76852348
19580,19580,30,Higher Education,Not Married,Female,26.88960554
19581,19581,39,Higher Education,Not Married,Female,31.1228882
19582,19582,43,Higher Education,Not Married,Female,32.97406731
19583,19583,24,None Higher Education,Not Married,Female,28.81571115
19584,19584,27,None Higher Education,Not Married,Male,69.01924957
19585,19585,64,None Higher Education,Married,Male,30.0806212
19586,19586,41,Higher Education,Married,Male,34.88739497
19587,19587,28,Higher Education,Not Married,Male,28.5744441
19588,19588,61,Higher Education,Married,Male,16.32664784
19589,19589,27,None Higher Education,Not Married,Female,49.93769284
19590,19590,49,Higher Education,Not Married,Female,23.58477728
19591,19591,20,Higher Education,Married,Male,36.00087692
19592,19592,41,None Higher Education,Not Married,Female,39.05077258
19593,19593,28,Higher Education,Married,Male,14.30783418
19594,19594,36,Higher Education,Not Married,Male,31.95650137
19595,19595,44,None Higher Education,Not Married,Male,46.46396229
19596,19596,51,None Higher Education,Married,Female,55.52557903
19597,19597,40,Higher Education,Not Married,Female,16.55130023
19598,19598,19,Higher Education,Not Married,Female,14.11864637
19599,19599,54,Higher Education,Married,Female,33.70817771
19600,19600,55,Higher Education,Not Married,Male,32.06215651
19601,19601,57,None Higher Education,Not Married,Female,55.30879726
19602,19602,29,Higher Education,Not Married,Female,22.41806345
19603,19603,51,Higher Education,Not Married,Female,17.15453229
19604,19604,44,Higher Education,Not Married,Male,39.86556615
19605,19605,35,None Higher Education,Married,Male,48.14047691
19606,19606,40,Higher Education,Not Married,Male,19.00191388
19607,19607,46,None Higher Education,Not Married,Female,54.32681789
19608,19608,25,Higher Education,Married,Male,23.48889776
19609,19609,33,None Higher Education,Not Married,Male,53.08748207
19610,19610,32,Higher Education,Not Married,Female,44.67280532
19611,19611,22,Higher Education,Not Married,Female,13.52908109
19612,19612,39,Higher Education,Married,Female,33.40110426
19613,19613,18,Higher Education,Not Married,Male,43.13210139
19614,19614,43,Higher Education,Not Married,Female,31.4392481
19615,19615,46,Higher Education,Not Married,Male,26.20386559
19616,19616,63,Higher Education,Married,Male,12.66982954
19617,19617,40,Higher Education,Married,Male,32.26407652
19618,19618,59,None Higher Education,Married,Male,41.76709604
19619,19619,40,Higher Education,Not Married,Female,20.60733239
19620,19620,23,Higher Education,Not Married,Male,36.2922263
19621,19621,64,Higher Education,Married,Male,34.49107853
19622,19622,36,None Higher Education,Married,Male,50.75559716
19623,19623,48,Higher Education,Not Married,Female,42.94982968
19624,19624,43,Higher Education,Married,Female,37.02745991
19625,19625,18,None Higher Education,Not Married,Female,58.0219506
19626,19626,17,None Higher Education,Not Married,Male,57.62124177
19627,19627,36,Higher Education,Married,Male,46.16355936
19628,19628,53,Higher Education,Married,Male,27.29329866
19629,19629,36,Higher Education,Not Married,Female,31.2090679
19630,19630,20,Higher Education,Not Married,Male,31.1154902
19631,19631,22,None Higher Education,Not Married,Female,46.26967577
19632,19632,34,None Higher Education,Married,Male,61.50872978
19633,19633,39,None Higher Education,Not Married,Male,55.34612539
19634,19634,57,Higher Education,Not Married,Female,21.80807464
19635,19635,30,None Higher Education,Not Married,Female,39.83350355
19636,19636,37,Higher Education,Married,Male,19.56142727
19637,19637,51,Higher Education,Married,Male,41.40667988
19638,19638,38,Higher Education,Not Married,Male,22.27489621
19639,19639,34,Higher Education,Not Married,Female,30.80036939
19640,19640,47,Higher Education,Married,Female,17.18293977
19641,19641,28,Higher Education,Married,Male,25.11705959
19642,19642,25,None Higher Education,Not Married,Male,61.21235651
19643,19643,25,Higher Education,Not Married,Female,21.92273742
19644,19644,50,Higher Education,Married,Male,29.23360811
19645,19645,50,Higher Education,Married,Male,30.77390156
19646,19646,43,None Higher Education,Married,Male,58.42424829
19647,19647,27,Higher Education,Not Married,Male,32.39496333
19648,19648,32,Higher Education,Married,Male,29.38370337
19649,19649,44,None Higher Education,Not Married,Male,47.74877647
19650,19650,19,Higher Education,Not Married,Female,45.10656745
19651,19651,53,Higher Education,Not Married,Male,17.76073396
19652,19652,21,Higher Education,Not Married,Male,30.67330558
19653,19653,26,Higher Education,Not Married,Male,39.11232061
19654,19654,68,Higher Education,Married,Male,42.29874624
19655,19655,31,Higher Education,Married,Male,11.06734227
19656,19656,32,None Higher Education,Not Married,Male,49.71128463
19657,19657,33,Higher Education,Not Married,Male,30.87994714
19658,19658,49,Higher Education,Not Married,Male,49.59015164
19659,19659,24,None Higher Education,Married,Male,60.00114578
19660,19660,30,Higher Education,Married,Male,11.11714108
19661,19661,49,Higher Education,Married,Male,21.65200903
19662,19662,18,None Higher Education,Not Married,Male,51.11344914
19663,19663,30,Higher Education,Not Married,Female,8.721728693
19664,19664,51,Higher Education,Married,Male,26.75639588
19665,19665,52,Higher Education,Married,Male,27.24645784
19666,19666,52,Higher Education,Not Married,Male,39.99812963
19667,19667,23,Higher Education,Not Married,Male,26.17996628
19668,19668,23,None Higher Education,Not Married,Male,70.35819385
19669,19669,36,Higher Education,Married,Male,25.05058028
19670,19670,19,None Higher Education,Not Married,Male,51.75067991
19671,19671,53,Higher Education,Married,Male,26.0459719
19672,19672,17,None Higher Education,Not Married,Male,73.62725772
19673,19673,69,Higher Education,Not Married,Female,36.92303193
19674,19674,46,None Higher Education,Not Married,Female,57.01818527
19675,19675,33,Higher Education,Not Married,Male,27.86643993
19676,19676,40,Higher Education,Married,Male,30.21275816
19677,19677,56,Higher Education,Married,Male,17.67665539
19678,19678,29,Higher Education,Married,Male,22.18515699
19679,19679,41,Higher Education,Not Married,Female,47.33010653
19680,19680,22,Higher Education,Married,Male,22.34292516
19681,19681,28,None Higher Education,Married,Male,46.34333507
19682,19682,31,None Higher Education,Married,Male,49.21661168
19683,19683,35,None Higher Education,Not Married,Female,48.67199111
19684,19684,38,Higher Education,Married,Male,34.67446345
19685,19685,17,None Higher Education,Not Married,Female,37.20284938
19686,19686,39,None Higher Education,Married,Male,46.33472181
19687,19687,27,Higher Education,Not Married,Male,46.83358611
19688,19688,50,Higher Education,Not Married,Female,31.21245707
19689,19689,56,Higher Education,Married,Male,43.27141742
19690,19690,80,Higher Education,Married,Male,25.89682279
19691,19691,38,Higher Education,Married,Female,29.42470566
19692,19692,52,Higher Education,Married,Male,43.13665287
19693,19693,26,None Higher Education,Not Married,Male,53.31458502
19694,19694,43,Higher Education,Not Married,Female,6.902306908
19695,19695,45,None Higher Education,Not Married,Female,41.05502749
19696,19696,41,None Higher Education,Married,Male,38.21756964
19697,19697,30,None Higher Education,Not Married,Female,55.95973274
19698,19698,24,Higher Education,Married,Male,33.64560081
19699,19699,43,Higher Education,Not Married,Female,37.8247869
19700,19700,44,None Higher Education,Married,Male,44.26995837
19701,19701,54,Higher Education,Not Married,Male,22.62747941
19702,19702,23,None Higher Education,Not Married,Female,44.61993998
19703,19703,33,Higher Education,Married,Male,13.98056303
19704,19704,18,None Higher Education,Not Married,Male,33.30603564
19705,19705,38,Higher Education,Not Married,Female,7.347114249
19706,19706,41,None Higher Education,Married,Male,37.60079152
19707,19707,22,None Higher Education,Not Married,Male,44.38971065
19708,19708,66,None Higher Education,Married,Male,44.20433464
19709,19709,70,Higher Education,Married,Male,35.46280296
19710,19710,58,None Higher Education,Married,Female,43.9537202
19711,19711,60,Higher Education,Not Married,Female,18.95101318
19712,19712,24,None Higher Education,Not Married,Male,41.49174309
19713,19713,61,None Higher Education,Not Married,Female,53.01057121
19714,19714,35,None Higher Education,Married,Male,32.80603973
19715,19715,19,Higher Education,Not Married,Female,11.43477381
19716,19716,52,Higher Education,Not Married,Female,14.16354485
19717,19717,38,None Higher Education,Married,Male,64.32444322
19718,19718,39,Higher Education,Married,Male,20.9211805
19719,19719,33,None Higher Education,Married,Male,41.09429495
19720,19720,52,Higher Education,Not Married,Female,10.71662875
19721,19721,41,Higher Education,Not Married,Female,35.40533228
19722,19722,37,Higher Education,Married,Male,26.26508498
19723,19723,38,None Higher Education,Married,Male,46.08741354
19724,19724,27,Higher Education,Not Married,Female,13.51517766
19725,19725,38,Higher Education,Not Married,Female,26.5379219
19726,19726,38,None Higher Education,Married,Male,35.04416355
19727,19727,49,Higher Education,Married,Male,9.759380578
19728,19728,38,None Higher Education,Not Married,Male,50.11706034
19729,19729,22,Higher Education,Not Married,Male,11.09750093
19730,19730,40,None Higher Education,Married,Male,36.64142088
19731,19731,20,Higher Education,Married,Male,36.39038029
19732,19732,34,Higher Education,Not Married,Female,50.9786238
19733,19733,24,Higher Education,Not Married,Male,25.44273103
19734,19734,58,None Higher Education,Not Married,Male,61.8397538
19735,19735,24,Higher Education,Not Married,Female,38.34511757
19736,19736,43,Higher Education,Not Married,Male,29.59886617
19737,19737,38,Higher Education,Not Married,Female,27.27778484
19738,19738,42,Higher Education,Married,Male,28.86088787
19739,19739,27,Higher Education,Married,Male,25.66169378
19740,19740,18,None Higher Education,Not Married,Female,50.53604386
19741,19741,37,Higher Education,Not Married,Male,18.84066552
19742,19742,48,Higher Education,Not Married,Male,29.68669403
19743,19743,40,None Higher Education,Not Married,Female,31.41218377
19744,19744,50,None Higher Education,Married,Male,34.70936886
19745,19745,57,Higher Education,Not Married,Female,29.91932549
19746,19746,36,Higher Education,Married,Male,26.13796121
19747,19747,41,Higher Education,Married,Male,34.1864289
19748,19748,90,None Higher Education,Married,Male,59.97937668
19749,19749,66,None Higher Education,Not Married,Female,49.86284581
19750,19750,34,Higher Education,Married,Female,22.27711163
19751,19751,23,Higher Education,Not Married,Male,49.15184324
19752,19752,35,Higher Education,Married,Male,30.38485227
19753,19753,32,Higher Education,Married,Male,27.77274192
19754,19754,33,None Higher Education,Not Married,Male,55.77711042
19755,19755,32,None Higher Education,Married,Male,46.90998094
19756,19756,31,Higher Education,Married,Male,36.81733755
19757,19757,32,Higher Education,Married,Male,35.85704935
